candidate_id,name,current_title,experience_years,skills,projects,technical_domains,current_company,company_type,location,github_url,portfolio_url,last_login,profile_updated_at,recruiter_response_rate,notice_period,relocation_preference,open_to_work,_profile_type
C1000,Candidate C1000,Research Scientist,3,vector search|A/B testing|hybrid retrieval|LLM chains|REST APIs|SQL|Jupyter|Linux|pandas|Kafka,Migrated BM25 search to dense retrieval; 35% improvement in recall@10|Built RAG chatbot using LangChain and OpenAI|Named entity recognition model using spaCy,search|information retrieval,Wipro,service,Hyderabad,,https://portfolio.dev/c1000,2026-01-07,2026-05-18,0.65,15,no,True,medium
C1001,Candidate C1001,AI Developer,5,ChromaDB|Pinecone|LlamaIndex|Weaviate|LangGraph|AutoGPT|LLM chains|OpenAI API|RAG|ChatGPT|LangChain|prompt engineering|Linux|Keras|REST APIs|Kafka,Built LangGraph agent for automated research|Created AI assistant using OpenAI function calling|Deployed LangChain pipeline for PDF summarisation,LLM applications|RAG,Wipro,service,Hyderabad,,,2026-06-13,2026-06-19,0.76,0,maybe,True,trap
C1002,Candidate C1002,ML Researcher,4,sentence-transformers|BM25|Kafka|Git|Redis|MongoDB|matplotlib,Named entity recognition model using spaCy|Image classification with ResNet,generative AI|LLMs,IBM Research,research,Chennai,,,2026-04-14,2026-05-03,0.72,60,yes,True,research
C1003,Candidate C1003,ML Researcher,3,sentence-transformers|Elasticsearch|PostgreSQL|production ML|GPT-4|LangGraph|ChatGPT|NumPy|AWS|matplotlib|Git|Linux|TensorFlow,Built recommendation engine for e-commerce using collaborative + content-based filtering|Named entity recognition model using spaCy|Deployed LangChain pipeline for PDF summarisation,CV|robotics,Capgemini,service,Remote,,https://portfolio.dev/c1003,2026-03-05,2026-05-05,0.28,30,yes,True,weak
C1004,Candidate C1004,Applied AI Engineer,5,embeddings|sparse retrieval|PyTorch|sentence-transformers|dense retrieval|re-ranking|A/B testing|learning-to-rank|Docker|NDCG|Python|MAP|semantic search|FAISS|MongoDB|Linux|AWS|Azure|Git,"Built semantic search system for product discovery using FAISS and sentence-transformers|Implemented offline evaluation benchmark for ranking: NDCG, MRR, MAP|Deployed learning-to-rank model for marketplace search; 18% lift in CTR",speech|audio,Haptik,product,Mumbai,https://github.com/candidate_c1004,,2026-06-02,2026-06-25,0.87,30,maybe,True,strong
C1005,Candidate C1005,Generative AI Specialist,9,MAP|FastAPI|Python|hybrid retrieval|semantic search|MRR|LangChain|GPT-4|Git|matplotlib|pandas,Improved search relevance using hybrid BM25 + dense retrieval; evaluated with NDCG@10|Named entity recognition model using spaCy|Fine-tuned LLM using LoRA for customer support chatbot,NLP|text classification,Exotel,product,Bangalore,,,2026-01-05,2026-06-01,0.92,15,no,False,medium
C1006,Candidate C1006,AI Developer,3,prompt engineering|ChatGPT|Pinecone|GPT-4|LLM chains|LangGraph|OpenAI API|LangChain|RAG|Spark|Jupyter|SQL|REST APIs,Created AI assistant using OpenAI function calling|Built RAG chatbot using LangChain and OpenAI|Created GPT-4 powered Q&A system using LlamaIndex|Built LangGraph agent for automated research,retrieval|ranking|recommendation|NLP,Accenture,service,Chennai,https://github.com/candidate_c1006,https://portfolio.dev/c1006,2026-06-04,2026-06-10,0.35,15,no,False,trap
C1007,Candidate C1007,ML Researcher,8,FAISS|Python|vector search|TensorFlow|pandas|Azure|Spark|Jupyter|SQL|MongoDB,Sentiment analysis classifier for product reviews|Image classification with ResNet,LLM applications|RAG,IISc,research,Gurgaon,,,2026-05-26,2026-06-16,0.42,60,no,True,research
C1008,Candidate C1008,NLP Engineer,3,scikit-learn|Kubernetes|Pinecone|GCP|pandas|Spark|NumPy,Built and productionised candidate ranking API using FastAPI and vector search|Built LangGraph agent for automated research|Built RAG chatbot using LangChain and OpenAI,NLP|text classification,LTIMindtree,service,Pune,,,2026-03-17,2026-07-01,0.4,30,no,True,weak
C1009,Candidate C1009,ML Researcher,8,FAISS|Python|vector search|REST APIs|Jupyter|Redis|Spark|Kafka|Keras,Sentiment analysis classifier for product reviews|Text summarisation with BART,NLP|text classification,IISc,research,Hyderabad,,,2026-06-05,2026-05-24,0.34,15,no,True,research
C1010,Candidate C1010,Principal Engineer,3,PostgreSQL|Docker|MAP|NDCG|Elasticsearch|A/B testing|RAG|Weaviate|Redis|NumPy|GCP|Keras,Improved search relevance using hybrid BM25 + dense retrieval; evaluated with NDCG@10|Built RAG chatbot using LangChain and OpenAI|Sentiment analysis classifier for product reviews,CV|robotics,CRED,product,Remote,https://github.com/candidate_c1010,,2026-01-29,2026-06-25,0.35,15,maybe,True,medium
C1011,Candidate C1011,AI Engineer,6,Kubernetes|production ML|MRR|PyTorch|scikit-learn|Docker|Python|re-ranking|A/B testing|hybrid retrieval|vector search|Linux|Jupyter|TensorFlow|Kafka|Git,"Implemented offline evaluation benchmark for ranking: NDCG, MRR, MAP|Built and productionised candidate ranking API using FastAPI and vector search|Designed hybrid retrieval pipeline combining sparse and dense embeddings",search|information retrieval,Nykaa,product,Mumbai,,,2026-06-10,2026-05-22,0.85,60,no,True,strong
C1012,Candidate C1012,AI Developer,8,MAP|search relevance|vector search|scikit-learn|NDCG|BM25|learning-to-rank|Kubernetes|SQL|Linux|REST APIs|TensorFlow|Git|Kafka,Designed hybrid retrieval pipeline combining sparse and dense embeddings|Built recommendation engine for e-commerce using collaborative + content-based filtering,NLP|text classification,Urban Company,product,Bangalore,https://github.com/candidate_c1012,https://portfolio.dev/c1012,2026-06-18,2026-06-23,0.33,30,yes,True,strong
C1013,Candidate C1013,Generative AI Specialist,9,vector search|ranking evaluation|BM25|A/B testing|sparse retrieval|Python|production ML|MAP|embeddings|search relevance|NDCG|sentence-transformers|dense retrieval|Keras|REST APIs|pandas,Built and productionised candidate ranking API using FastAPI and vector search|Migrated BM25 search to dense retrieval; 35% improvement in recall@10|Re-ranked search results using cross-encoder model; improved MRR by 22%,LLM applications|RAG,Byju's,product,Kolkata,https://github.com/candidate_c1013,https://portfolio.dev/c1013,2026-06-22,2026-05-10,0.82,15,yes,True,strong
