rank,candidate_id,name,current_title,experience_years,location,company_type,final_score,fit_label,missionfit_score,production_ml_score,retrieval_ranking_score,evaluation_score,external_evidence_score,availability_score,risk_penalty,confidence_score,risk_level,notice_period_days,has_github,has_portfolio,is_hidden_gem,is_keyword_trap,short_reason,risk_summary,recommended_action
1,C0008,C0008,Senior AI Engineer,7,Pune,unknown,71.2,Good Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.4,low,30,True,True,True,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
2,C0007,C0007,Senior ML Engineer,7,Pune,unknown,70.7,Good Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.5,low,30,True,True,True,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
3,C0004,C0004,Senior AI Engineer,7,Bengaluru,unknown,70.7,Good Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.5,low,30,True,True,True,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
4,C0001,C0001,Senior ML Engineer,6,Bengaluru,unknown,69.7,Possible Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.7,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
5,C0009,C0009,Senior AI Engineer,6,Delhi NCR,unknown,69.7,Possible Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.7,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
6,C0005,C0005,Senior ML Engineer,8,Pune,unknown,69.7,Possible Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.7,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
7,C0012,C0012,Senior ML Engineer,7,Noida,unknown,69.7,Possible Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.7,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
8,C0003,C0003,Senior ML Engineer,6,Delhi NCR,unknown,69.7,Possible Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.7,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
9,C0011,C0011,ML Platform Engineer,5,Mumbai,unknown,69.3,Possible Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.7,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
10,C0006,C0006,ML Platform Engineer,8,Mumbai,unknown,69.2,Possible Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.8,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
11,C0002,C0002,ML Platform Engineer,7,Bengaluru,unknown,69.2,Possible Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.8,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
12,C0010,C0010,ML Platform Engineer,6,Hyderabad,unknown,68.6,Possible Match,42.3,100.0,80.0,100.0,58.0,66.0,-6,97.9,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and vector search / embedding expertise.,,Consider — verify key gaps before outreach.
13,C0076,C0076,Senior ML Engineer,8,Pune,product,66.0,Possible Match,36.1,50.0,80.0,100.0,33.0,61.0,0,76.7,low,30,True,True,False,False,Strong candidate: vector search / embedding expertise and ranking / retrieval system experience. Gap: no production ML deployment evidence.,No significant risk flags detected.,Consider — verify key gaps before outreach.
14,C0070,C0070,Senior ML Engineer,8,Pune,product,65.7,Possible Match,36.1,50.0,80.0,100.0,33.0,56.0,0,76.8,low,30,True,True,False,False,Strong candidate: vector search / embedding expertise and ranking / retrieval system experience. Gap: no production ML deployment evidence.,No significant risk flags detected.,Consider — verify key gaps before outreach.
15,C0071,C0071,Staff ML Engineer,9,Noida,product,65.1,Possible Match,36.1,50.0,80.0,100.0,33.0,56.0,0,76.9,low,30,True,True,False,False,Strong candidate: vector search / embedding expertise and ranking / retrieval system experience. Gap: no production ML deployment evidence.,No significant risk flags detected.,Consider — verify key gaps before outreach.
16,C0073,C0073,Staff ML Engineer,8,Delhi NCR,product,64.0,Possible Match,36.1,50.0,80.0,100.0,33.0,56.0,0,77.1,low,30,True,True,False,False,Strong candidate: vector search / embedding expertise and ranking / retrieval system experience. Gap: no production ML deployment evidence.,No significant risk flags detected.,Hold — significant gaps; deprioritise for this role.
17,C0072,C0072,Search Platform Lead,8,Delhi NCR,product,62.8,Possible Match,36.1,50.0,80.0,100.0,33.0,61.0,0,77.4,low,30,True,True,False,False,Strong candidate: vector search / embedding expertise and ranking / retrieval system experience. Gap: no production ML deployment evidence.,No significant risk flags detected.,Hold — significant gaps; deprioritise for this role.
18,C0074,C0074,AI Architect,11,Hyderabad,product,61.7,Possible Match,36.1,50.0,80.0,100.0,33.0,56.0,0,77.6,low,30,True,True,False,False,Strong candidate: vector search / embedding expertise and ranking / retrieval system experience. Gap: no production ML deployment evidence.,No significant risk flags detected.,Hold — significant gaps; deprioritise for this role.
19,C0075,C0075,Senior ML Engineer,10,Mumbai,product,61.7,Possible Match,36.1,50.0,80.0,100.0,33.0,56.0,0,77.6,low,30,True,True,False,False,Strong candidate: vector search / embedding expertise and ranking / retrieval system experience. Gap: no production ML deployment evidence.,No significant risk flags detected.,Hold — significant gaps; deprioritise for this role.
20,C0069,C0069,Staff ML Engineer,10,Hyderabad,product,61.6,Possible Match,36.1,50.0,80.0,100.0,33.0,56.0,0,77.6,low,30,True,True,False,False,Strong candidate: vector search / embedding expertise and ranking / retrieval system experience. Gap: no production ML deployment evidence.,No significant risk flags detected.,Hold — significant gaps; deprioritise for this role.
21,C0061,C0061,Backend Engineer - Search,7,Noida,product,49.7,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,47.5,low,30,True,True,False,True,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
22,C0042,C0042,PhD Researcher - NLP,8,Noida,unknown,45.1,Weak Match,19.8,50.0,0.0,100.0,28.8,66.0,-6,46.7,low,30,True,True,False,True,Strong candidate: ranking evaluation metrics (NDCG/MRR) and active GitHub presence. Gap: no production ML deployment evidence.,,Reject — does not meet core requirements.
